국가코드,특허/실용 구분,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호/공표/재공표,공개일,등록번호,등록일,출원인
KR,P,온도 센서 및 온도 센서의 제조방법(TEMPERATURE SENSOR AND METHOD FOR THE PRODUCTION OF A TEMPERATURE SENSOR),본 발명은 온도센서(100)를 개시한다. 상기 센서는 광물-절연 공급선(108) 유저 금속 관(102) 및 지지 구조 안에 고정된 온도 센싱 소자를 포함한다. 유저 금속 관의 개방 단부(102B)는 광물-절연 공급선에 기계적으로 연결되어 있다. 와이어 커넥션은 온도 센싱 소자를 광물-절연 공급선에 기계적 전기적으로 연결한다. 상기 지지 구조는 유저 금속 관의 하단부(102A)안에서 유저 금속 관의 축 방향으로 지속적으로 움직일 수 있다. ,광물-절연 공급선(108);하단부(102A) 및 상기 광물-절연 공급선에 기계적으로 연결된 개방 단부(102B)를 포함하는 유저 금속 관(bottomed metal tube)(102);상기 유저 금속 관 내에 포함된 온도 센싱 소자(104); 및상기 온도 센싱 소자를 상기 광물-절연 공급선에 기계적 및 전기적으로 연결시키는 와이어 커넥션;을 포함하고상기 온도 센싱 소자는 지지 구조(106) 내에 고정되고 상기 지지 구조는 하단부(102A) 내에서 유저 금속 관의 축 방향으로 지속적으로 움직일 수 있는 것인 온도 센서(100).,13,10-2016-0081760,2016-06-29,10-2017-0004877,2017-01-11,0,0,센사타 테크놀로지스 인크
KR,P,온도 센서 온도 센서 제조 방법 및 대응하는 온도 센서 조립 방법(TEMPERATURE SENSOR MANUFACTURING PROCESS AND CORRESPONDING METHOD OF ASSEMBLY),본 발명은 온도 감지 요소(3) 및 온도 감지 요소(3)를 수용하고 폐쇄 단부(9)를 가지며 대응하는 공동(11)에 삽입되도록 되어 있는 둘레 엔벨로프(envelope)(7)를 포함하는 온도 센서로서 둘레 엔벨로프(7)의 폐쇄 단부(9)는 둘레부(21)를 포함하고 폐쇄 단부의 끝에 상기 둘레부(21)에 이어지는 가요성 조립 정지부(23)가 마련되며 상기 가요성 조립 정지부(23)는 대응하는 공동(11)의 저부(15)와의 형상 맞춤에 의해 둘레부(21)를 향해 변형 가능한 것을 특징으로 하는 온도 센서에 관한 것이다. 본 발명의 대상은 또한 전술한 온도 센서의 제조 방법과 상기 온도 센서의 조립 방법이다.,온도 센서로서- 온도 감지 요소(3); 및- 온도 감지 요소(3)를 수용하고 폐쇄 단부(9)를 가지며 대응하는 공동(11)에 삽입되도록 되어 있는 둘레 엔벨로프(envelope)(7)를 포함하는 온도 센서에 있어서둘레 엔벨로프(7)의 폐쇄 단부(9)는 둘레부(21)를 포함하고 폐쇄 단부의 끝에 상기 둘레부(21)에 이어지는 가요성 조립 정지부(23)가 마련되며 상기 가요성 조립 정지부(23)는 대응하는 공동(11)의 저부(15)와의 형상 맞춤에 의해 둘레부(21)를 향해 변형 가능한 것을 특징으로 하는 온도 센서.,8,10-2011-7011920,2009-10-23,10-2011-0071023,2011-06-27,10-1658073,2016-09-09,에스쎄2엔
KR,P,온도센서(TEMPERATURE SENSOR),(과제) 감온소자의 소자 전극선과 시스 심선과의 접합부에 걸리는 응력을 완화한 온도센서를 제공한다.(해결수단) 감온부(103)와 이 감온부(103)에서 연장되는 1쌍의 소자 전극선(104)을 가지는 감온소자(102)와; 소자 전극선(104)에 접합부(110)를 통해서 접속되는 시스 심선(108)과 이 시스 심선(108)을 절연재(114)의 사이에 내포하는 시스 외관(107)을 가지는 시스부재(106)와; 바닥부를 가지는 통형상을 이루며 선단(112a)이 되는 바닥부측에 적어도 감온소자(102) 및 접합부(110)를 수용하고 소자 전극선(104) 및 시스 심선(108)이 연장되는 방향으로 연장되는 금속제의 내통(112)과; 개구단(120a)을 가지는 통형상을 이루며 내통(112)의 축방향(L)에 수직인 방향에서 보았을 때 개구단(120a)(위치 X)이 접합부(110)(위치 J)보다 선단측에서 또한 내통(112)의 바닥부(위치 B)까지의 영역에 위치하도록 내통(112)을 덮으며 접합부(110)(위치 J)보다 선단측에서 내통(112)과 이간되어 있는 금속제의 외통(120);을 구비한 온도센서(100x)이다.,감온부와 상기 감온부에서 연장되는 1쌍의 소자 전극선을 가지는 감온소자와상기 소자 전극선에 접합부를 통해서 접속되는 시스 심선과 상기 시스 심선을 절연재의 사이에 내포하는 시스 외관을 가지는 시스부재와바닥부를 가지는 통형상을 이루며 선단이 되는 바닥부측에 적어도 감온소자 및 접합부를 수용하고 상기 소자 전극선 및 시스 심선이 연장되는 방향으로 연장되는 금속제의 내통과개구단을 가지는 통형상을 이루며 내통의 축방향에 수직인 방향에서 보았을 때 상기 개구단이 접합부보다 선단측에서 또한 내통의 바닥부까지의 영역에 위치하도록 내통을 덮으며 상기 접합부보다 선단측에서 내통과 이간되어 있는 외통을 구비한 것을 특징으로 하는 온도센서.,6,10-2009-0040235,2009-05-08,10-2009-0117658,2009-11-12,10-1630452,2016-06-08,니혼도꾸슈도교 가부시키가이샤
KR,P,인터쿨러용 온도센서(TEMPERATURE SENSOR FOR INTERCOOLER),본 발명은 인터쿨러용 온도센서에 관한 것이다. 본 발명은 접속단자(11)가 노출되게 인서트되고 외주벽(12) 및 바닥면(13)을 가지며 일측에 끼움축(17)을 갖는 커넥터(10); 상기 커넥터(10)의 상기 접속단자(11)와 통전가능하게 연결되는 리드와이어(21)를 갖는 서미스터(20); 상기 커넥터(10)의 상기 끼움축(17)과 상기 서미스터(20) 및 리드와이어(21)가 삽입되는 공간부(30a)가 마련되고 상기 커넥터(10)의 일측에 결합되며 인터쿨러에 결합되는 바디(30); 및 상기 바디(30)의 상기 공간부(30a)에 액상으로 충전되어 고상으로 경화되면서 상기 바디(30)에 상기 커넥터(10)를 접합시켜서 영구적으로 고정하고 상기 공간부(30a)를 수밀상태로 차폐하여 상기 리드와이어(21)의 외측면을 실링하면서 상기 서미스터(20)의 적어도 일부분을 실링하는 경화성 충전재(30b);를 포함하고 상기 경화성 충전재는 상기 서미스터(20)의 적어도 일부분을 감싸는 상태로 경화되는 것을 특징으로 한다. 본 발명은 경화성 충전재에 의해 수밀성이 향상된다.,차량의 전자제어장치와 접속되는 접속단자(11)의 일단부가 외부로 노출되게 인서트되고 노출되는 상기 접속단자(11)를 감싸는 외주벽(12) 및 상기 접속단자(11)가 돌출되는 바닥면(13)을 가지며 일측에 돌출형성된 끼움축(17)을 갖는 커넥터(10);상기 커넥터(10)의 상기 접속단자(11)와 통전가능하게 연결되는 리드와이어(21)를 갖는 서미스터(20);상기 커넥터(10)의 상기 끼움축(17)과 상기 서미스터(20) 및 리드와이어(21)가 삽입되는 공간부(30a)가 마련되고 상기 공간부(30a)에 상기 끼움축(17)이 삽입된 상태로 상기 커넥터(10)의 일측에 결합되며 상기 서미스터(20)가 위치하는 일부분이 인터쿨러에 결합되는 바디(30); 및상기 바디(30)의 상기 공간부(30a)에 액상으로 충전되어 고상으로 경화되면서 상기 바디(30)에 상기 커넥터(10)를 접합시켜서 영구적으로 고정하고 상기 공간부(30a)를 수밀상태로 차폐하여 상기 리드와이어(21)의 외측면을 실링하면서 상기 서미스터(20)의 적어도 일부분을 실링하는 경화성 충전재(30b);를 포함하고상기 경화성 충전재(30b)는상기 서미스터(20)의 적어도 일부분을 감싸는 상태로 경화되고상기 커넥터(10)는상기 접속단자(11)가 인서트된 상태로 상기 바닥면(13)의 일측에 돌출형성되어 인서트된 상기 접속단자(11)의 길이방향을 따라 형성되는 경계면을 통해 수분이 유입되는 것을 방지하는 보스(14);를 더 포함하는 인터쿨러용 온도센서.,6,10-2014-0094515,2014-07-25,10-2016-0013374,2016-02-04,10-1601814,2016-03-03,인지컨트롤스 주식회사
KR,P,배기가스 온도센서(A temperature sensor for exhaust gas),선단에 온도센서부를 가지고 쉬스선을 감싸서 보호하는 메탈튜브와 메탈튜브와 파이프형의 조인트를 연결하기 위한 플랜지와 플랜지와 조인트 사이에 결합되며 온도측정을 위한 대상물에 체결되는 볼트를 포함하며 플랜지의 볼트의 단부와 마주하는 일면에는 볼트와 비접촉하는 비접촉 경사면이 형성되는 것을 특징으로 하는 배기가스 온도센서가 게시된다.,선단에 온도센서부를 가지고 쉬스선을 감싸서 보호하는 메탈튜브와;상기 메탈튜브와 파이프형의 조인트를 연결하기 위한 플랜지와;상기 플랜지와 상기 조인트 사이에 결합되며 온도측정을 위한 대상물에 체결되는 볼트;를 포함하며상기 플랜지의 상기 볼트의 단부와 마주하는 일면에는 상기 볼트와 비접촉하는 비접촉 경사면이 형성되는 것을 특징으로 하는 배기가스 온도센서.,5,10-2014-0016787,2014-02-13,10-2015-0095450,2015-08-21,0,0,태성전장주식회사
KR,P,자동차용 온도센서(Temperature sensor for automobile),본 발명은 장시간 사용하더라도 서미스터 소자의 내환원성 분위기를 억제하여 출력 안정성을 극대화한 자동차용 온도센서를 제공하는데 그 목적이 있다. 상기와 같은 목적들을 달성하기 위하여 한쌍의 전극선이 돌출형성되고 산화제가 포함된 보호층을 구비한 서미스터 소자와 일단이 상기 전극선에 연결되고 타단이 커넥터에 연결되어 검출된 신호를 전자제어장치로 전달하는 연결단자와 상기 서미스터 소자를 둘러싸는 금속캡과 상기 금속캡에 결합되어 상기 연결단자를 둘러싸는 몸체로 이루어진 센서하우징을 포함하는 자동차용 온도센서가 개시된다.,한쌍의 전극선이 돌출형성되고 산화제가 포함된 보호층을 구비한 서미스터 소자;일단이 상기 전극선에 연결되고 타단이 커넥터에 연결되어 검출된 신호를 전자제어장치로 전달하는 연결단자; 및상기 서미스터 소자를 둘러싸는 금속캡과 상기 금속캡에 결합되어 상기 연결단자를 둘러싸는 몸체로 이루어진 센서하우징;을 포함하되상기 서미스터 소자와 상기 금속캡 사이에 절연체가 충진되며 상기 금속캡의 하단에는 상기 절연체의 충진시 기포가 외부로 배출되되 절연체 충진 완료 후에는 용접으로 밀폐되는 배출공이 형성되고상기 금속캡의 측벽 중 상기 절연체가 충진되지 아니한 부위에는 관통공 형상의 산소공급공이 형성되어 상기 센서하우징 외부의 산소가 상기 산소공급공을 통해 상기 서미스터 소자로 공급되며상기 서미스터 소자의 외형은 상기 금속캡의 외곽 단면형상과 동일한 형상으로 형성되어 상기 서미스터 소자와 상기 금속캡의 거리차이가 동일하게 설계된 것을 특징으로 하는 자동차용 온도센서.,1,10-2013-0121921,2013-10-14,10-2015-0043009,2015-04-22,10-1523669,2015-05-21,세종공업 주식회사
KR,P,자동차용 온도센서(Temperature sensor for automobile),본 발명은 조립시나 차량진동 및 외부충격으로부터 서미스터 소자의 단선을 방지할 수 있는 온도센서를 제공하는데 그 목적이 있다. 상기와 같은 목적들을 달성하기 위하여 한쌍의 전극선이 돌출형성된 서미스터 소자와 하단에 용접홈이 형성된 세라믹관으로 둘러싸여 상기 용접홈에서 일단이 상기 전극선에 연결되고 타단이 커넥터에 연결되어 검출된 신호를 전자제어장치로 전달하는 연결단자와 상기 서미스터 소자를 둘러싸는 금속캡과 상기 금속캡에 결합되어 상기 연결단자를 둘러싸는 몸체로 이루어진 센서하우징을 포함하는 자동차용 온도센서가 개시된다.,한쌍의 전극선이 돌출형성된 서미스터 소자;하단에 용접홈이 형성된 세라믹관으로 둘러싸여 상기 용접홈에서 일단이 상기 전극선에 연결되고 타단이 커넥터에 연결되어 검출된 신호를 전자제어장치로 전달하는 연결단자; 및상기 서미스터 소자를 둘러싸는 금속캡과 상기 금속캡에 결합되어 상기 연결단자를 둘러싸는 몸체로 이루어진 센서하우징을 포함하는 자동차용 온도센서.,4,10-2013-0121931,2013-10-14,10-2015-0043013,2015-04-22,0,0,세종공업 주식회사
KR,P,차량의 엔진온도 측정센서(Measurement sensor for engine temperature of vehicles),본 발명은 차량의 엔진온도 측정센서에 관한 것으로서 엔진의 온도를 감지하는 서미스터(80); 상기 엔진의 결합홈에 삽입되어 결합되는 삽입축(52)이 하단에 구비되고 내부에 공간이 형성되어 상기 서미스터(80)가 내장되며 외주면에 다각형 결합부(51b)가 형성되어 다각형의 결합면이 구비된 공구(TL)가 결합되는 상부 개방형의 관체형 하우징(50); 상기 하우징(50)의 상부에 결합되고 상기 서미스터(80)와 연결되어 차량의 전자제어장치와 접속되는 단자(T)가 구비된 커넥터(60); 및 상기 하우징(50)의 외주면에 돌출상태로 구비되어 상기 하우징(50)의 상기 다각형 결합부(51b)에 결합되는 상기 공구(TL)의 하단이 걸리면서 상기 공구(TL)의 하단을 지지하는 스토퍼(70);를 포함하며 상기 스토퍼(70)가 상기 공구(TL)를 지지하므로 상기 삽입축(52)이 상기 공구(TL)의 내부에 삽입되는 것이 방지된다.,엔진의 온도를 감지하는 서미스터(80);상기 엔진의 결합홈에 삽입되어 결합되는 삽입축(52)이 하단에 구비되고 내부에 공간이 형성되어 상기 서미스터(80)가 내장되며 외주면에 다각형 결합부(51b)가 형성되어 다각형의 결합면이 구비된 공구(TL)가 결합되는 상부 개방형의 관체형 하우징(50);상기 하우징(50)의 상부에 결합되고 상기 서미스터(80)와 연결되어 차량의 전자제어장치와 접속되는 단자(T)가 구비된 커넥터(60); 및상기 하우징(50)의 외주면에 돌출상태로 구비되어 상기 하우징(50)의 상기 다각형 결합부(51b)에 결합되는 상기 공구(TL)의 하단이 걸리면서 상기 공구(TL)의 하단을 지지하는 스토퍼(70);를 포함하고상기 스토퍼(70) 및 상기 커넥터(60)는 상기 하우징(50)에 인서트로 성형되어 상기 하우징(50)에 영구적으로 결합되는 것을 특징으로 하며상기 스토퍼(70)는 상기 하우징(50)의 외주면에 원주방향을 따라 돌출되도록 링형상으로 형성된 것을 특징으로 하고상기 하우징(50)은 홈형태의 걸림수단(51a)이 외주면에 형성되고 상기 스토퍼(70)는 상기 걸림수단(51a)에 삽입되어 걸리는 걸림테(73)가 형성되어 상기 하우징(50)의 축방향을 따라 이탈이 방지되는 것을 특징으로 하며상기 하우징(50)은 외주면에 인서트되는 상기 스토퍼(70)가 걸려서 회전이 방지되는 회전방지턱(51e);을 더 포함하는 것을 특징으로 하고상기 하우징(50)의 상기 삽입축(52)에 끼워져서 상기 하우징(50)을 구성하는 바디(51)의 하단에 설치되는 와셔(W);를 더 포함하며상기 바디(51)는상기 커넥터(60)의 상부돌기(62)가 인서트되어 걸리는 홈형태의 돌기노치(51f);를 더 포함하고상기 스토퍼(70)는상기 하우징(50)의 외주면에 지지되는 스커트(72);를 더 포함하며상기 스토퍼(70)는상기 스커트(72)를 통해 상기 하우징(50)에 분산상태로 압력이 전달되도록 원주방향을 따라 상기 스커트(72)가 복수로 구성된 것을 특징으로 하는 차량의 엔진온도 측정센서.,1,10-2013-0104828,2013-09-02,10-2015-0026254,2015-03-11,10-1504650,2015-03-16,인지컨트롤스 주식회사
KR,P,온도 센서(TEMPERATURE SENSOR),본 발명은 자동차를 위한 온도 센서(1)에 관한 것으로서 상기 온도 센서는 온도 감응 요소(5)를 포함하는 내부 용적을 형성하는 하우징(3) 상기 온도 감응 요소(5)에 전기적으로 연결되며 또한 상기 감응 요소(5)로부터 온도 정보의 항목을 하우징(3)의 외부로 전송하도록 구성된 전기 와이어(9) 하우징(3)의 외부에 대해 온도 감응 요소(5)를 격리시키기 위해 상기 전기 와이어(9)를 부분적으로 둘러싸는 밀봉부(13)를 포함하며 상기 밀봉부(13)는 길이방향으로 지칭되는 방향으로 바람직하게 연장한다. 본 발명에 따라 상기 센서(1)는 상기 센서로부터 상기 전기 와이어(9)를 안내하기 위해 상기 밀봉부(13)와 일체인 안내 수단(15)을 추가로 포함하며 상기 안내 수단(15)은 상기 밀봉부(13)의 길이방향에 따라 밀봉부(13)의 중심 영역으로부터 상기 센서 하우징(3)의 외부를 향해 상기 밀봉부(13)의 연장부에 놓이며 또한 상기 안내 수단(15)의 횡단면은 밀봉부(13)의 횡단면의 치수보다 더 작은 크기를 가지며 상기 안내 수단(15)의 적어도 일부는 하우징의 외측에 놓인다. ,자동차를 위한 온도 센서(1)로서- 온도 감응 요소(5)를 포함하는 내부 용적을 형성하는 하우징(3);- 상기 온도 감응 요소(5)에 전기적으로 연결되며 또한 상기 온도 감응 요소(5)의 온도 정보를 하우징(3)의 외부로 전송하도록 구성된 전기 와이어(9);- 온도 감응 요소(5)를 하우징(3)의 외부로부터 격리시키기 위해 상기 전기 와이어(9)를 부분적으로 둘러싸는 밀봉부(13)로서 상기 밀봉부는 바람직하게는 길이방향으로 지칭되는 방향을 따라 연장되는 것인 밀봉부를 포함하며상기 온도 센서는 전기 와이어들이 상기 센서로부터 나올 때 상기 전기 와이어(9)를 안내하기 위해 상기 밀봉부(13)에 고정된 안내 수단(15)을 추가로 포함하며 상기 안내 수단(15)은 상기 센서 하우징(3)의 외부의 방향으로 밀봉부(13)의 중심 영역으로부터 상기 밀봉부(13)의 길이방향을 따라 상기 밀봉부(13)의 연속부로 연장되며 상기 안내 수단(15)의 횡단면은 밀봉부(13)의 횡단면의 크기보다 더 작은 크기를 가지며 상기 안내 수단(15)의 적어도 일부는 하우징으로부터 연장되는 것인 온도 센서.,10,10-2014-7028589,2013-03-14,10-2014-0136035,2014-11-27,0,0,에스쎄2엔
KR,P,온도 센서(TEMPERATURE SENSOR),하우징과 상기 하우징에 적어도 부분적으로 위치하는 온도 센싱 요소를 포함하는 온도 센서. 뒤섞인 서로 다른 크기의 입자들을 포함하는 미립자 매개체는 상기 하우징에 위치하고 상기 온도 센싱 요소를 적어도 부분적으로 에워싼다. 상기 미립자 매개체는 상기 하우징에서 환원 분위기를 방지하기 위하여 산소를 혼입할 수 있다.,하우징;상기 하우징에 위치하는 온도 센싱 요소; 및상기 하우징에 위치하되 상기 온도 센싱 요소를 적어도 부분적으로 에워싸는 미립자 매개체를 포함하며상기 미립자 매개체는 제1 입자들과 제2 입자들의 혼합을 필수적으로 포함하며 상기 제1 입자들과 상기 제2 입자들은 동일한 물질이고 상기 제2 입자들은 상기 제1 입자들의 메쉬 크기보다 작은 메쉬 크기를 갖고 그로 인해 상기 제1 입자들과 상기 제2 입자들 사이에 입자간 빈 공간(interstitial volume)이 형성되고 상기 입자간 빈 공간은 상기 하우징에서 환원 분위기를 방지하기에 충분한 양의 산소를 혼입하는 온도 센서.,15,10-2008-7026267,2007-03-28,10-2008-0110871,2008-12-19,10-1414327,2014-06-25,스토너릿지 인코포레이티드
