국가코드,특허/실용 구분,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호/공표/재공표 ,공개일,등록번호,등록일,출원인
JP,P,록 볼트용 이형관의 제조 방법 및 그 제조 장치,요약 목적 1단 당 성형량을 크게 취해 적은 단수로 성형해 또한 성형 시의 휨의 발생을 방지해 효율적으로 록 볼트용 이형관을 제조하는 방법을 제공한다. 구성 (a) 용접된 강관을 준비해 (b) 우선 대소 2 종류의 볼록 곡면으로 구성되는 단면에 롤 성형한다. (c) 다음으로 상기 2 종류의 볼록 곡면 중의 곡률 반지름의 큰 면의 중앙 표면에서 원반형 볼록 롤을 맞혀 상기 곡률 반경의 큰 면을 관의 내측에 움푹 팬 곳다투도록 롤 성형한다. (d)(e) 그 후 중앙이 구덩이통형에 만곡한 단면의 양측에 롤을 맞혀 통형 개구부를 좁혀 관외 지름을 작고 롤 성형해 반지름 방향으로 움푹 팬 곳움푹한 곳을 축방향에 걸쳐서 길게 형성한 록 볼트용 이형관을 제조한다.  ,청구항소재 강관을 대소 2 종류의 볼록 곡면으로 구성되는 단면에 롤 성형하는 제1 공정과 상기 2 종류의 볼록 곡면 중의 곡률 반지름의 큰 면의 중앙 표면에서 원반형 롤을 맞혀 상기 곡률 반경의 큰 면을 관의 내측에 움푹 팬 곳다투도록 롤 성형하는 제2 공정과 중앙이 구덩이통형에 만곡한 단면의 양측에 롤을 맞혀 통형 개구부를 좁혀 관외 지름을 작고 롤 성형하는 제 3 공정으로 구성되는 것을 특징으로 하는 록 볼트용 이형관의 제조 방법.,7,2001-344411,2001-11-09,2003-145216,2003-05-20,3868797,2006-10-20,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK
JP,P,록 볼트 가압 팽창용 씰 헤드 및 복수 락 볼트 동시 가압 팽창 방법,요약 목적구조가 간단하고 슬리브로의 감착이 용이하고 게다가 슬리브에 감착했을 때 슬리브 지지가 가능한 록 볼트 가압 팽창용 씰 헤드를 제공한다. 구성소경부 4에 설치한 고리형 오목부 7에 끼워넣어진 슬리브 지지용 고리형 패킹 8 혹은 대경부 5에 삽입되어 내경을 슬리브의 외경보다 조금 작게 한 스토퍼벽 측 고리모양 씰 패킹 9의 작용으로 슬리브를 원통형 하우징 6 내에 지지함과 동시에 유체흐름 입구 15에서 가압 유체를 압입해 스토퍼벽 측 고리모양 씰 패킹 9 및 슬리브 삽입구 측 고리모양 씰 패킹 10을 슬리브에 압접해 실링한 후 어댑터 링 11에 설치한 유체흐름통 구멍 16을 통해 가압 유체를 슬리브 내 즉 록 볼트 내에 압입하고 록 볼트를 가압 팽창시킨다. 이 씰 헤드는 록 볼트에 설치되면 상기 지지 기구에 의해 탈락하지 않는다 것으로 록 볼트에 설치된 복수의 씰 헤드에 하나의 펌프에서 동시에 가압 유체를 공급할 수 있어 복수의 록 볼트를 동시에 가압 팽창시킬 수 있다. 선택도 도 2 ,청구항선단에 슬리브 삽입구(2) 후단에 스토퍼벽(3)을 가지며 후단의 스토퍼벽으로 연결되는 소경부(4)와 선단의 슬리브 삽입구로 연결되는 대경부(5)로 구성되는 원통형 하우징(6)과 상기 소경부(4)에 설치한 고리형 오목부(7)에 끼워넣어진 슬리브 지지용 고리형 패킹(8)과 상기 대경부(5)에 삽입된 스토퍼벽 측 고리모양 씰 패킹(9) 슬리브 삽입구 측 고리모양 씰 패킹(10) 및 그 사이에 배치된 어댑터 링(11)과 상기 슬리브 삽입구(2)에서 끼워져 상기 스토퍼벽 측 고리모양 씰 패킹(9) 슬리브 삽입구 측 고리모양 씰 패킹(10) 및 어댑터 링(11)의 축방향의 이동을 규제하는 가이드 링(12)을 구비하고 상기 어댑터 링(11) 내면의 축방향 중앙에 환상 웅덩이(13)가 형성됨과 동시에 상기 스토퍼벽 측 고리모양 씰 패킹(9) 및 슬리브 삽입구 측 고리모양 씰 패킹(10)의 외면의 축방향 중앙에 실 패킹 압압용 구덩이(14)가 형성되고 게다가 상기 원통형 하우징(6)의 어댑터 링(11) 대응 개소에 유체흐름 입구(15)를 관통시키고 상기 어댑터 링(11)에 유체흐름통 구멍(16)을 관통시킨 형상을 가지는 것을 특징으로 하는 록 볼트 가압 팽창용 씰 헤드.,7,2002-173318,2002-06-13,2004-019181,2004-01-22,4035001,2007-11-02,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK | YAMAMOTO SUIATSU KOGYOSHO:KK | EAST NIPPON EXPRESSWAY CO LTD | CENTRAL NIPPON EXPRESSWAY CO LTD | WEST NIPPON EXPRESSWAY CO LTD
JP,P,도금 강관제 록 볼트,요약 목적 내식성이 우수한 소재를 사용함으로써 내구성 신뢰성이 높고 시공 비용의 저감화가 가능한 팽창형 강관제 록 볼트를 제공한다. 구성 일단이 닫혀 타단에 가압 유체 공급원에 연결하는 금구가 설치되고 축방향으로 연장되는 팽창용 오목부를 1 이상 가지는 중공체로 구성되는 록 볼트로서 상기 중공체가 양면을 금속 도금된 강관으로 구성되는 것. 금속 도금으로서는 Zn-Al-Mg계 합금 도금이 바람직하다.  ,청구항일단이 닫혀 타단에 가압 유체 공급원에 연결하는 금구가 설치되고 축방향으로 연장되는 팽창용 오목부를 1 이상 가지는 중공체로 구성되는 록 볼트로서 상기 중공체가 양면을 금속 도금된 강관으로 구성되는 것으로 또한 상기 금속 도금이 Mg:0.05~10 질량％Al:4~22 질량％잔부 Zn 및 불가피한 불순물로 구성되는 Zn-Al-Mg계 합금 도금이다 일을 특징으로 하는 도금 강관제 록 볼트.,3,2002-291319,2002-10-03,2003-206698,2003-07-25,4109073,2008-04-11,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK | EAST NIPPON EXPRESSWAY CO LTD | CENTRAL NIPPON EXPRESSWAY CO LTD | WEST NIPPON EXPRESSWAY CO LTD
JP,P,록 볼트용 인발 저항 시험 장치 및 록 볼트 인발 저항 시험 방법,요약 과제 슬리브 척 요소를 구조가 간소하고 조작하기 쉽고 작업성을 향상시키고 신뢰성을 향상시킬 수 있는 록 볼트용 인발 저항 강도 시험 장치를 제공한다. 해결 수단 강관 팽창형 록 볼트 R에 피착된 고압수 주입용 슬리브 S에 고리형 오목부 U를 형성함과 동시에 슬리브 척 치구 C의 콜릿 척 8의 내면에 설치한 환상 볼록부 9를 상기 고압수 주입용 슬리브 S에 설치한 고리형 오목부 U에 끼워 배합한 후 상기 콜릿 척 8의 외주에 배치된 케이싱 10을 이동시켜 슬리브 S를 슬리브 척 치구 C로 척킹한 후 평면 방편용 케이싱 3을 세트해 당해 평면 방편용 케이싱 3의 상면에 배치한 센터 홀 잭 6을 구동시켜 텐션 로드 2에 인발의 힘을 작용시켜 록 볼트의 인발 저항 시험을 한다. 선택도 도 4 ,청구항내면에 환상 볼록부를 설치한 콜릿 척과 상기 콜릿 척의 외주에 배치되어 당해 콜릿 척을 체결하기 위한 케이싱으로 구성되는 슬리브 척 치구 상기 슬리브 척 치구에 연접된 텐션 로드 상기 슬리브 척 치구 및 텐션 로드를 둘러싼 평면 방편용 하우징 상기 평면 방편용 하우징의 상면에 배치되어 또한 상기 텐션 로드를 관통시킨 센터 홀 잭을 구비하고 있는 것을 특징으로 하는 록 볼트용 인발 저항 시험 장치.,2,2003-308822,2003-09-01,2005-076310,2005-03-24,4203566,2008-10-24,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK | YAMAMOTO SUIATSU KOGYOSHO:KK | NAKANIHON HIGHWAY ENGINEERING NAGOYA KK
JP,P,록 볼트 가압 팽창용 씰 헤드,요약 과제 내면에 끼워넣은 고리모양 씰 패킹을 가압 유체를 받은 변형하기 쉽고 또한 내면에 흠집이 붙기 어렵게 하고 내구성을 향상시킨 록 볼트 가압 팽창용 씰 헤드를 제공한다. 해결 수단 원통형 하우징 6 내에 스토퍼부 측 고리모양 씰 패킹 9슬리브 삽입구 측 고리모양 씰 패킹 10 및 그 사이에 배치된 어댑터 링 11을 끼워넣은 록 볼트 가압 팽창용 씰 헤드 1에 있어서 슬리브 삽입구 측 고리모양 씰 패킹 10으로서 그 외 측을 구성하는 연질 탄성 재료로 구성되는 링형 부재와 그 내측에 끼워넣어져 외측의 연질 탄성 재료보다 경질의 탄성 재료로 구성되는 링형 부재로 구성되는 2층 구조를 가지는 것을 이용한다. 선택도 도 2 ,청구항원통형 하우징(6) 내에 스토퍼부 측 고리모양 씰 패킹(9)슬리브 삽입구 측 고리모양 씰 패킹(10) 및 그 사이에 배치된 어댑터 링(11)을 끼워넣은 록 볼트 가압 팽창용 씰 헤드에 있어서 슬리브 삽입구 측 고리모양 씰 패킹(10)이 그 외 측을 구성하는 연질 탄성 재료로 구성되는 외측 링상부재와 그 내측에 끼워넣어져 외측의 연질 탄성 재료보다 경질의 탄성 재료로 구성되는 내측 링상부재로 구성되는 2층 구조를 가지는 것을 특징으로 하는 록 볼트 가압 팽창용 씰 헤드.,2,2003-313414,2003-09-05,2005-082986,2005-03-31,4157957,2008-07-25,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK | YAMAMOTO SUIATSU KOGYOSHO:KK | NAKANIHON HIGHWAY ENGINEERING NAGOYA KK
JP,P,록 볼트 가압 팽창 방법,요약 과제 가압 유체 공급관의 총 연장을 짧게 함과 동시에 작업 현장 주변의 가압 유체 공급관을 집약해 복수의 록 볼트를 작업성 좋게 가압 팽창시키는 방법을 제공한다. 해결 수단 고압 물 공급장치 1에 접속된 1개의 가압 유체 공급관 3에 각각의 록 볼트 가압 팽창용 씰 헤드 5의 바로 옆 위치에서 분기 가압 유체 공급관을 접속함과 동시에 당해 분기 가압 유체 공급관을 각각 고압수용 3방 밸브 6을 통해 록 볼트 가압 팽창용 씰 헤드 5에 접속해 상기 가압 유체 공급관 3에 고압 물 공급장치 1에서 가압 유체를 압송해 복수의 록 볼트 7을 정리해 가압 팽창시킨다. 선택도 도 3 ,청구항고압 물 공급장치에 접속된 1개의 가압 유체 공급관에 복수의 록 볼트 가압 팽창용 씰 헤드의 각각의 바로 옆 위치에서 분기 가압 유체 공급관을 접속함과 동시에 당해 각 분기 가압 유체 공급관을 각각 고압수용 3방 밸브를 통해 각각의 록 볼트 가압 팽창용 씰 헤드에 접속해 상기 고압 물 공급장치에서 상기 1개의 가압 유체 공급관에 가압 유체를 압송함으로써 복수의 록 볼트 가압 팽창용 씰 헤드에 가압 유체를 공급하고 록 볼트 가압 팽창용 씰 헤드가 피착된 복수의 록 볼트를 정리해 가압 팽창시키는 것을 특징으로 하는 록 볼트 가압 팽창 방법.,2,2003-349084,2003-10-08,2005-113504,2005-04-28,4203567,2008-10-24,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK | YAMAMOTO SUIATSU KOGYOSHO:KK | NAKANIHON HIGHWAY ENGINEERING NAGOYA KK
JP,P,강관 팽창형 록 볼트,요약 과제 강관 팽창형 록 볼트에 피착하는 가압 유체압 입용 슬리브의 길이를 짧게 해 슬리브 돌출부의 콘크리트 두께와 그 주변부의 콘크리트 두께와의 차이를 적게 한 신뢰성이 높은 복공 콘크리트를 얻는 것이 가능한 강관 팽창형 록 볼트를 제공한다. 해결 수단 가압 유체압 입용 슬리브 10을 원통형 대경 돌출부 11과 소경의 와셔 지지부 12와의 2개의 부분으로 구성되는 것으로 하고 소경의 와셔 지지부 12에 와셔 6을 관통시켜 지지시켜 와셔보다 앞의 부분을 암반에 매몰시킨다. 그 결과 암반 표면에서 외측으로 돌출되어 있는 부분을 와셔 6과 원통형 대경 돌출부 11만으로 한다. 선택도 도 3 ,청구항주입 구멍이 천설되고 와셔의 구멍 지름보다 큰 외경을 가지는 원통형 대경 돌출부와 와셔의 구멍 지름보다 작은 외경을 가진다 원통형의 와셔 지지부가 설치된 가압 유체압 입용 슬리브가 주수 측단부에 피착되어 있는 것 특징으로 하는 강관 팽창형 록 볼트.,3,2003-387109,2003-11-17,2005-146701,2005-06-09,4680491,2011-02-10,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK | EAST NIPPON EXPRESSWAY CO LTD | NAKANIHON HIGHWAY ENGINEERING NAGOYA KK | CENTRAL NIPPON EXPRESSWAY CO LTD | WEST NIPPON EXPRESSWAY CO LTD
JP,P,록 볼트 가압 팽창용 씰 헤드,요약 과제 길이가 짧은 슬리브를 씌운 록 볼트에 있어서도 슬리브를 확실하게 지지해 가압 팽창용 압력 유체를 유입할 수 있는 록 볼트 가압 팽창용 씰 헤드를 제공한다. 해결 수단 원통형 하우징 34는 슬리브 삽입구 31을 가지는 소경의 공간부 32와 대경의 공간부 33으로 구성되며 대경의 공간부 33 내에 삽입된 슬리브 삽입구 측 고리모양 씰 패킹 35스토퍼측 고리모양 씰 패킹 36 및 그 사이에 배치된 어댑터 링 37이 슬리브 삽입구 31과는 반대 측에서 끼워넣어진 고정 링 38에 의해 억누를 수 있고 있다. 이 때문에 슬리브 삽입측 단부와 고정 링 38의 단차 39 사이의 슬리브 수용 공극의 길이(깊이)가 짧아져 길이가 짧은 슬리브를 씌운 록 볼트에도 대응할 수 있다. 선택도 도 3 ,청구항선단에 슬리브 삽입구(31)를 가지는 소경의 공간부(32)와 상기 소경의 공간부로 연결되어 후단에 개구를 가지는 대경의 공간부(33)로 구성되는 원통형 하우징(34)과 상기 원통형 하우징(34)의 대경부(33) 내에 삽입된 슬리브 삽입구 측 고리모양 씰 패킹(35)스토퍼측 고리모양 씰 패킹(36) 및 그 사이에 배치된 어댑터 링(37)과 상기 대경부(33) 후단 개구에서 끼워져 상기 슬리브 삽입구 측 고리모양 씰 패킹(35)스토퍼측 고리모양 씰 패킹(36) 및 그 사이에 배치된 어댑터 링(37)의 축방향의 이동을 규제하는 고정 링(38)을 구비하고 상기 고정 링(38)은 내면에 단차(39)를 가져 스토퍼를 형성함과 동시에 그 선단 측에 상기 소경의 공간부(32)와 같은 내경의 슬리브 수용 공극(40)이 설치되어 내려  어댑터 링(37) 내면의 축방향 중앙에 환상 웅덩이(41)가 형성됨과 동시에 슬리브 삽입구 측 고리모양 씰 패킹(35) 및 스토퍼측 고리모양 씰 패킹(36)의 외면의 축방향 중앙에 실 패킹 압압용 구덩이(42)가 형성되고 게다가 원통형 하우징(34)의 외표면과 어댑터 링 대응 개소 사이에 유체흐름 입구(43)를 관통시키고 상기 어댑터 링(37)에 유체흐름통 구멍(44)을 관통시킨 형상을 가진다 일을 특징으로 하는 록 볼트 가압 팽창용 씰 헤드.,2,2003-387110,2003-11-17,2005-146702,2005-06-09,4213566,2008-11-07,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK | YAMAMOTO SUIATSU KOGYOSHO:KK | NAKANIHON HIGHWAY ENGINEERING NAGOYA KK
JP,P,고내역 강관 팽창형 록 볼트 및 그 제조 방법,요약　　　（수정유） 과제이형관으로의 변형 가공 시나 가압 팽창 시에 도입되는 변형량을 감소시켜 가압 팽창 시에도 균열 위험성이 적은 신뢰성이 높은 고내력 강관 팽창형 록 볼트를 제공한다. 해결 수단490~640 N/mm2의 항장력 20％이상의 신장을 가지는 1.8~2.3 mm 두께의 강판을 소재로 하고 외경 50~55 mm에 조관된 강관을 롤 성형법에 의해 원주 부분과 그에 계속 되는 오목부에서 외주가 구성되고 외경 34~38 mm의 치수와 항장력 530~690 N/mm2 및 신장 20％이상의 인장 특성을 가지는 이형관에 변형한 후 소정 길이에 절단해 양 관단을 밀봉함과 동시에 비정상으로 가압 유체압입 구멍을 천설한다. 선택도도 2 ,청구항판 두께가 1.8~2.3 mm로 외경이 34~38 mm의 치수를 가지며 항장력 530~690 N/mm2와 신장 20％이상의 인장 특성을 구비한 이형관으로 구성되어 있는 것을 특징으로 하는 고내력 강관 팽창형 록 볼트.,3,2004-007046,2004-01-14,2005-200893,2005-07-28,0,0,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK
JP,P,자동차 구조 부재용 이형관의 제조 방법 및 장치,요약　　　（수정유） 과제 굴곡 강도와 흡수 에너지 특성이 우수한 특수 형상의 이형관을 치수 정밀하고 안정적으로 제조한다. 해결 수단 원형관을 중앙에 평탄부 13을 가져 그 양측에 서로 대칭의 구덩이를 가지는 곡면으로 구성되는 상면 14와 그에 연속적으로 연결되어 일정한 곡률을 가지는 볼록 곡면으로 구성되는 하면으로 구성되는 단면에 롤 성형하는 제1 공정(a)과 상기 하면을 밑 롤 22로 지지하면서 상기 상면의 중앙 평탄부에 원반형 롤 21을 맞혀 관의 내측에 움푹 팬 곳다투도록 롤 성형하는 제2 공정(b)과 통형에 만곡한 단면의 양측에 롤 33을 맞혀 통형 개구부를 좁혀 관외 지름을 작고 롤 성형하는 제 3 공정(c)과 상롤 41으로 상부를 지지하면서 좌우 가는 초 롤 43을 이용해 좌우 주변부를 내측에 압입함과 동시에 밑 롤 42로 저변부를 밀어 올려 이형 사다리꼴관의 저변 및 사변을 롤 성형하는 제4 공정(d)으로 횡단면의 외곽이 거의 사다리꼴 형상을 나타내며 만곡 주변부로 구성되는 이형관을 제조한다. 선택도 도 8 ,청구항원형관에서 횡단면의 외곽이 거의 사다리꼴 형상을 나타내며 사다리꼴 단변부에 내향의 만곡 주변부가 서로 대향해서 형성됨과 동시에 상기 만곡 주변부에서 연속해서 연장된 봉투부가 사다리꼴 내에 그 장변부에 대향해서 형성된 이형관을 롤 성형할 때 원형관을 중앙에 평탄부를 가져 그 양측에 서로 대칭의 구덩이를 가지는 곡면으로 구성되는 상면과 당해 상면에 연속적으로 연결되어 일정한 곡률을 가지는 볼록 곡면으로 구성되는 하면으로 구성되는 단면에 롤 성형하는 제1 공정과 상기 제1 공정으로 형성된 하면을 지지하면서 상기 상면의 중앙 평탄부에 원반형 롤을 맞혀 상기 상면을 관의 내측에 움푹 팬 곳다투도록 롤 성형하는 제2 공정과 중앙이 구덩이통형에 만곡한 단면의 양측에 롤을 맞혀 통형 개구부를 좁혀 관외 지름을 작고 롤 성형하는 제 3 공정과 상롤로 상부를 지지하면서 좌우 가는 초 롤을 이용해 좌우 주변부를 측방에서 내측으로 압입함과 동시에 밑 롤로 저변부를 밀어 올려 이형 사다리꼴관의 저변 및 사변을 롤 성형하는 제4 공정으로 구성되는 것을 특징으로 하는 자동차 구조 부재용 이형관의 제조 방법.,5,2004-281752,2004-09-28,2006-095539,2006-04-13,0,0,NISSHIN STEEL CO LTD | NISSHIN KOKAN KK
