국가코드,특허/실용 구분,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호/공표/재공표 ,공개일,등록번호,등록일,출원인
KR,P,홀 센서신호에 대한 잡음 판정 방법 그리고 이에 적용되는 장치(METHOD FOR JUDGING NOISE ABOUT HALL SENSOR SIGNAL AND APPARATUS APPLIED TO THE SAME),본 발명은 홀 센서신호에 대한 잡음 판정 방법 그리고 이에 적용되는 장치를 개시한다. 본 발명에 따른 홀 센서신호에 대한 잡음 판정 방법 그리고 이에 적용되는 장치는 모터(예: 브러시리스(Brushless) 모터)의 회전자 위치를 감지하기 위한 홀 센서신호의 패턴변화에 기초한 모터 회전방향 안내신호와 카운트 신호를 홀 센서신호 내 잡음을 판정하기 위한 특정 인자로 활용하며 모터 회전방향 안내신호의 폴링 에지(falling edge) 또는 라이징 에지(rising edge)와 상응하는 카운트 신호 내 토글 구간을 판정한 후 판정한 토글 구간의 발생 횟수를 카운트하고 카운트한 토글 구간의 발생 횟수가 미리 정해진 기준 횟수 이상(즉 상세한 설명에서 기준 횟수의 의미를 설명하도록 하겠음)이면 해당 토글 구간의 신호 영역을 잡음에 의해 발생한 신호 영역인 것으로 판정할 수 있는 구성을 갖춘다. 따라서 본 발명은 홀 센서신호 내 잡음이 포함되어 있더라도 별도 하드웨어적인 장치를 구비할 필요없이 잡음이 위치한 신호 영역을 정확하게 검출할 수 있으며 검출한 잡음 위치에 해당하는 신호 영역에 대한 모터 회전 카운트를 실행하지 아니하여 모터의 회전자 위치 판정에 대한 오류를 줄일 수 있다.,모터제어장치에서 모터드라이브로부터 홀 센서신호의 패턴변화에 기초한 모터 회전방향 안내신호와 카운트 신호를 수신하는 단계;상기 홀 센서신호 내의 잡음을 식별하기 위한 로직 실행을 통해 상기 모터 회전방향 안내신호의 폴링 에지 또는 라이징 에지와 상응하는 상기 카운트 신호의 토글 구간을 판정하고 상기 토글 구간의 발생 횟수를 카운트하는 단계; 및상기 토글 구간의 발생 횟수가 미리 정해진 기준 횟수 이상이면 상기 발생한 토글 구간의 신호 영역을 상기 잡음에 의해 발생한 것으로 판정하는 단계;를 포함하는 것을 특징으로 하는 홀 센서신호에 대한 잡음 판정 방법.,7,10-2011-0140185,2011-12-22,10-2013-0072658,2013-07-02,10-1779121,2017-09-11,콘티넨탈 오토모티브 시스템 주식회사
KR,P,선형 홀 센서를 갖는 BLDC모터의 홀 센서 장착 위치 오차 보정 장치 및 방법(A device of Hall sensors installation position error correction for BLDC motors having linear Hall sensors and a method thereof), 본 발명은 영구자석을 포함하는 회전자와 상기 회전자의 둘레에서 자기력을 형성하기 위한 코일이 권선된 고정자와 상기 회전자의 바깥 둘레에 설치되어 홀 효과에 의해 출력 신호를 생성하는 세 개의 선형 홀 센서를 포함하는 BLDC모터의 홀 센서 장착 위치 오차 보정 장치에 있어서 상기 세 개의 선형 홀 센서로부터 출력되는 각각의 출력 신호 H1 H2 H3를 검출하는 검출부와 상기 검출부에서 검출된 출력 신호 H1 H2 H3를 직교하는 2상의 변환 신호 Ha Hb로 변환하고 변환신호 Ha Hb를 정규화된 신호 Han Hbn으로 변환하는 변환부와 상기 변환부에서 출력되는 정규화된 변환 신호 Han Hbn으로부터 모터의 회전 각도를 산출하는 연산부를 포함하고 상기 변환부에서 출력 신호 H1 H2 H3를 직교하는 2상의 변환 신호 Ha Hb로 변환하는 것은 클락 변환(Clarke Transformation)에 의해 이루어지는 것을 특징으로 한다. ,영구자석을 포함하는 회전자와 상기 회전자의 둘레에서 자기력을 형성하기 위한 코일이 권선된 고정자와 상기 회전자의 바깥 둘레에 설치되어 홀 효과에 의해 출력 신호를 생성하는 세 개의 선형 홀 센서를 포함하는 BLDC모터의 홀 센서 장착 위치 오차 보정 장치에 있어서 상기 세 개의 선형 홀 센서로부터 출력되는 각각의 출력 신호 H1 H2 H3를 검출하는 검출부와 상기 검출부에서 검출된 출력 신호 H1 H2 H3를 클락 변환(Clarke Transformation)에 의해 직교하는 2상의 변환 신호 Ha Hb로 변환하고 변환신호 Ha Hb를 정규화된 신호 Han Hbn으로 변환하는 변환부와 상기 변환부에서 출력되는 정규화된 변환 신호 Han Hbn를 2차원 평면상으로 변환한 좌표값 Han(x1 y1) Hbn(x2 y2)의 합 P(x1+x2 y1+y2)가 X축과 이루는 각(θ)의 변위량을 이용하여 모터의 회전 각도를 산출하는 연산부를 포함하는 홀 센서 장착 위치 오차 보정 장치.,2,10-2016-0053039,2016-04-29,0,0,10-1749522,2017-06-15,주식회사 와이즈웍스
KR,P,홀센서를 이용한 모터의 위치 검출 및 속도 계산 방법(Method for computating motor speed and rotor position using hall sensor),본 발명은 홀센서를 이용한 모터의 위치 검출 및 속도 계산 방법에 관한 것으로서 더욱 상세하게는 홀센서를 이용하여 고속으로 회전하는 모터속도 및 모터 회전자 위치 계산에 대한 정밀도를 향상시킬 수 있도록 한 홀센서를 이용한 모터의 위치 검출 및 속도 계산 방법에 관한 것이다. 즉 본 발명은 모터에 위치센서로서 장착되는 홀센서와 홀센서의 신호를 입력받아 모터를 제어하는 모터제어기와 모터제어기에서 홀센서의 신호 변화 타이밍을 감지할 때의 시간을 저장할 수 있는 마이콤 등의 구성을 통하여 고속으로 회전하는 모터의 회전자 위치 검출 및 모터속도 계산에 대한 정밀도를 향상시킬 수 있도록 한 홀센서를 이용한 모터의 위치 검출 및 속도 계산 방법을 제공하고자 한 것이다.,홀센서의 신호값 변화 여부를 판정하는 제1단계와;홀센서의 신호값 변화가 존재하는 경우 PWM 스위칭 듀티를 결정하기 위한 연산이 시작될 때의 시간(Tcurrent)과 홀센서의 신호값 변환 지점에서의 시간(THall)을 인버터 제어기에 포함된 CPU의 내부 클럭 카운터값을 읽어들여 계산하는 제2단계와;이전의 홀센서 신호값이 변화할 때의 시간 정보(THall)와 그 이전의 홀센서 신호값이 변화할 때의 시간 정보(THall_old)를 바탕으로 모터속도(ωr)를 계산하는 제3단계와;상기 TCurrent와 THall 간의 시간차(ΔT)를 바탕으로 모터 위치를 계산하는 제4단계;를 포함하는 것을 특징으로 하는 홀센서를 이용한 모터의 위치 검출 및 속도 계산 방법.,7,10-2014-0128036,2014-09-25,10-2016-0036210,2016-04-04,10-1655537,2016-09-01,현대자동차주식회사 | 기아자동차주식회사
KR,P,BLDC모터의 홀센서 체결구조(Hall Sensor Fastening Structure of BLDC Motor),본 발명은 모터하우징(10)과; 상기 모터하우징(10)의 내부에 구비되어 전자기에 의해 고속으로 회전되는 로터(18)와; 전류 인입을 위한 코일이 권선되는 다수의 고정자 슬롯(16)과; 상기 고정자 슬롯(16)의 내부에 삽입되어 절연 기능을 수행하는 인슐레이터(22)와; 이웃하는 고정자 슬롯(16) 사이에 위치하여 상기 로터(18)의 위치를 감지하기 위한 홀센서(42)가 설치되는 홀센서기판(40)을 포함하며; 상기 홀센서기판(40)의 외주면을 따라 돌출되게 형성되며 상기 인슐레이터(22)의 내부로 삽입되어 상기 홀센서기판(40)을 고정하는 고정돌기(44)와; 상기 홀센서기판(40)의 원주방향을 따라 구비되며 상기 인슐레이터(22)에 관통 형성되어 상기 고정돌기(44)가 체결되어 고정되는 결합홈부(32)와; 상기 결합홈부(32)의 양측면에 돌출되게 형성되며 상기 결합홈부(32)의 내부에 삽입된 상기 고정돌기(44)가 외부로 이탈되는 것을 방지하는 걸림돌기(34);를 포함하는 BLDC모터의 홀센서 체결구조에 관한 것이다.이와 같은 본 발명에 의하면 인슐레이터의 상측에 다수개의 결합홈부가 형성되며 상기 결합홈부의 내부에 고정돌기가 삽입되어 홀센서기판이 상기 인슐레이터에 견고하게 고정되도록 구성된다.따라서 홀센서의 위치가 안착되는 위치의 정밀도 및 홀센서기판이 고정자에 안착되는 위치의 정밀도에 따른 홀센서 출력상의 불량 요인을 제거할 수 있으므로 모터의 품질 안정성을 확보할 수 있다.또한 결합홈부의 내부에 걸림돌기가 홀센서기판의 고정돌기가 외부로 이탈되는 것이 방지되며 모터의 진동에 의해 홀센서기판이 탈거되는 것을 방지할 수 있으며 이로 인한 모터의 고장 및 불량이 예방되는 효과가 있다.,모터하우징(10)과;상기 모터하우징(10)의 내부에 구비되어 전자기에 의해 고속으로 회전되는 로터(18)와;상기 로터(18)의 외측에 소정 간격 이격되게 설치되며 전기의 공급에 따라 전자기장을 발생시키는 스테이터(12)와;상기 스테이터(12)의 내주면을 따라 일정한 간격으로 돌출 형성되며 전류 인입을 위한 코일이 권선되는 다수의 고정자 슬롯(16)과;상기 스테이터(12)의 상측과 하측에 각각 결합되며 상부 인슐레이터(24)와 하부 인슐레이터(26)로 이루어져 상기 코일과 상기 다수의 고정자 슬롯(16) 사이에 결합되어 절연 기능을 수행하는 인슐레이터(22)와;상기 인슐레이터(22)의 일측에 설치되며 상기 로터(18)의 위치를 감지하기 위한 홀센서(42)가 설치되는 홀센서기판(40)과;상기 홀센서기판(40)과 일체로 형성되며 상기 홀센서기판(40)의 테두리부를 따라 방사상으로 다수개가 돌출 형성되고 상기 인슐레이터(22)의 내부로 삽입되어 상기 홀센서기판(40)을 견고하게 고정하는 고정돌기(44)와;상기 상부인슐레이터(24)의 상단부에 소정 깊이 만큼 함몰 형성되며 상기 홀센서기판(40)의 원주방향을 따라 다수개가 구비되어 다수개의 상기 고정돌기(44)가 삽입 고정되는 결합홈부(32)와;상기 결합홈부(32)의 양측면부에 각각 원호 형상으로 돌출 형성되며 탄성재질로 이루어져 상기 고정돌기(44)의 장착시 탄성 변형되어 상기 홀센서기판(40)의 고정 및 해제가 손쉽게 이루어지는 걸림돌기(34)와;상기 홀센서기판(40)의 일측에 설치되며 상기 고정자 슬롯(16)의 내부로 연장되는 온도감지선(48)과 연결되어 상기 고정자 슬롯(16)에 감겨진 코일의 온도를 감지하는 온도센서(46);를 포함하는 BLDC 모터의 홀셀서 체결구조.,1,10-2013-0098387,2013-08-20,10-2013-0108227,2013-10-02,10-1482939,2015-01-06,박정희 | 서정랑
KR,P,홀 센서 모듈 및 이를 이용하는 모터 제어 방법(HALL SENSOR MODULE AND MOTOR CONTROL METHOD USING THE SAME),본 발명은 저가형의 복수의 3상 홀 센서 그룹을 이용함으로써 장치 비용을 절감하면서 모터의 위치 센싱에 대한 신뢰성을 향상시킬 수 있는 홀 센서 모듈과 이를 이용하는 모터 제어 방법에 관한 것으로 홀 센서 모듈은 중공부를 가지는 원반 형상의 기판과 기판에 실장되는 3개의 제1 홀 센서와 기판에 실장되는 3개의 제2 홀 센서를 포함하고 여기서 제1 및 제2 홀 센서는 정육각형의 6개의 꼭지점에 대응하는 형태로 기판 일면의 중공부 주위에 배치된다.,중공부를 가지는 원반 형상의 기판(100);상기 기판에 실장되는 3개의 제1 홀 센서(121 122 123); 및상기 기판에 실장되는 3개의 제2 홀 센서(131 132 133);를 포함하고상기 제1 및 제2 홀 센서는 정육각형의 6개의 꼭지점에 대응하는 형태로 상기 기판(100) 일면의 중공부(101) 주위에 배치되는 것을 특징으로 하는 홀 센서 모듈.,6,10-2013-0013284,2013-02-06,10-2014-0100637,2014-08-18,0,0,한온시스템 주식회사
KR,P,360도 범위의 자기 각위치 센서(Magnetic Angular Position Sensor for a Course up to 360°),본 발명은 축에 대해 회전하는 하나 이상의 원통형 영구자석(1)으로 이루어지는 이동 소자와 2개 이상의 자기 감지 소자(23) 및 상기 이동 소자의 절대위치에 좌우되는 신호를 전달하는 하나 이상의 처리회로(4)를 포함하는 각위치 센서에 있어서 상기 자기 감지 소자(23)는 동일 지점에 배치되고 90도 다른 위상인 2개의 정현파신호를 제공하기 위해 접선방향 자기장 성분 및 반경방향 및/또는 축방향 자기장 성분을 측정하는 것을 특징으로 하는 각위치 센서에 관한 것이다.,축에 대해 회전하는 하나 이상의 원통형 영구자석(1)으로 이루지는 이동 소자와 2개 이상의 자기 감지 소자(23) 및 상기 이동 소자의 절대위치에 따른 신호를 전달하는 하나 이상의 신호 처리회로(4)를 포함하는 각위치 센서에 있어서상기 자기 감지 소자(23)는 동일 지점에 배치되고 접선방향 자기장 성분과 반경방향 축방향 또는 두 방향 모두의 자기장 성분을 측정하며 상기 영구자석은 등방성 재료로 형성되고 상기 센서는 상기 영구자석 내의 자기장 선분의 굴곡을 보상하는 수단을 구비하는 것을 특징으로 하는 자기 각위치 센서.,20,10-2008-7014444,2006-11-15,10-2008-0077369,2008-08-22,10-1331182,2013-11-13,엠엠티 에스아
KR,P,모터 위치 및 속도 검출 시스템(A system for detecting position and velocity of motor),홀 센서 또는 모터의 극수를 추가함이 없이 모터의 속도 및 위치를 정확하게 검출하는 모터 위치 및 속도 검출 시스템에 관한 것으로서 본 발명의 일 실시예에 의한 모터 속도 및 위치 검출 시스템은 모터의 회전으로부터 홀 신호를 출력하는 홀 센서(Hall sensor); 상기 홀 신호에 대한 에지(Edge) 신호를 검출하여 에지 펄스(Pulse) 신호를 출력하는 에지 검출기(Edge detector); 상기 홀 신호에 대한 피크(Peak) 신호를 검출하여 피크 펄스 신호를 출력하는 피크 검출기(Peak detector); 상기 에지 검출기 및 상기 피크 검출기와 연결되고 모터의 위치를 출력하는 위치 출력부; 및 상기 에지 검출기 및 상기 피크 검출기와 연결되고 모터의 속도를 출력하는 속도 출력부;를 포함한다.,모터의 회전으로부터 홀 신호를 출력하는 홀 센서(Hall sensor);상기 홀 신호에 대한 에지(Edge) 신호를 검출하여 에지 펄스(Pulse) 신호를 출력하는 에지 검출기(Edge detector);상기 홀 신호에 대한 피크(Peak) 신호를 검출하여 피크 펄스 신호를 출력하는 피크 검출기(Peak detector);상기 에지 검출기 및 상기 피크 검출기와 연결되고 모터의 위치를 출력하는 위치 출력부; 및상기 에지 검출기 및 상기 피크 검출기와 연결되고 모터의 속도를 출력하는 속도 출력부;를 포함하는 모터 위치 및 속도 검출 시스템.,19,10-2012-0036845,2012-04-09,10-2013-0114455,2013-10-18,0,0,삼성전기주식회사
KR,P,ＢＬＤＣ 전동기의 홀 센서 위치 보정 방법 및 이를 지원하는 ＢＬＤＣ 전동기(Compensation Method For Position of Hall Sensor of BLDC Motor And BLDC Motor thereof),본 발명은 BLDC 전동기의 홀 센서에 관한 것으로 이러한 본 발명은 모터의 최초 구동 여부를 확인하는 확인 단계 상기 모터의 최초 구동인 경우 상기 모터의 회전자 위치를 검출하는 홀 센서의 개수와 PWM 구동 주기 및 타이머 중 적어도 하나를 이용하여 홀 센서의 위치를 추정하는 추정 단계 상기 홀 센서들이 전달하는 센서 신호와 상기 추정 값을 비교하여 실제 홀 센서들의 위치에 대응하는 위치 보정 값을 산출하는 단계 상기 위치 보정 값을 기반으로 상기 모터 구동을 제어하는 제어 단계를 포함하는 BLDC 전동기의 홀 센서 위치 보정 방법 및 이를 지원하는 BLDC 전동기의 구성을 개시한다.,고정자와 회전자를 포함하는 모터;상기 모터의 회전자 위치를 검출하는 복수개의 홀 센서;상기 홀 센서의 개수와 PWM(Pulse Width Modulation) 구동 주기 및 타이머 중 적어도 하나를 이용하여 홀 센서의 위치를 추정하여 추정 값을 산출하고 상기 홀 센서들이 전달하는 센서 신호와 상기 추정 값을 비교하여 실제 홀 센서들의 위치에 대응하는 위치 보정 값을 산출하고 이를 상기 모터 구동 제어에 적용하는 모터 제어부;상기 모터 제어부 제어에 따라 상기 모터 구동에 필요한 전원을 공급하는 인버터;상기 인버터에 공급되는 PWM 구동 신호를 생성하는 PWM 구동부;를 포함하고상기 모터 제어부는상기 인버터로부터 전류 값을 피드백 받고 상기 복수개의 홀 센서 중 상기 피드백 받은 전류 값의 크기가 가장 작은 전류 값을 가지는 위치에 배치된 홀 센서를 기준 홀 센서를 선정하는 기준 홀 센서 선정부;상기 선정된 기준 홀 센서를 기준으로 PWM 구동 주기 또는 상기 모터의 회전 시간을 감지하는 타이머를 이용하여 다른 홀 센서들의 위치를 추정하여 추정 값을 산출하는 홀 센서 변화 추정부;상기 홀 센서가 실제 회전자의 위치에 따라 검출한 계측 센서 신호를 수집하는 홀 센서 정보 수집부;상기 계측 센서 신호 수집 시점과 상기 추정 값 비교를 통하여 상기 위치 보정 값을 산출하여 상기 인버터 구동에 필요한 제어 신호를 제공하는 비교 보정부;를 포함하는 것을 특징으로 하는 홀 센서 위치 보정을 지원하는 BLDC 전동기.,8,10-2012-0028453,2012-03-20,0,0,10-1293082,2013-07-30,전자부품연구원
KR,P,역기전압을 이용한 ＢＬＤＣ 전동기의 홀 센서 위치 보정 방법 및 이를 지원하는 ＢＬＤＣ 전동기(Compensation Method For Position of Hall Sensor of BLDC Motor used by counter electro-motive force And BLDC Motor thereof),본 발명은 BLDC 전동기의 홀 센서에 관한 것으로 이러한 본 발명은 모터의 최초 구동 여부를 확인하는 확인 단계 상기 모터의 최초 구동인 경우 상기 모터의 역기전압 정보를 수집하는 단계 상기 수집된 역기전압 정보와 홀센서가 전달하는 센서 신호 비교를 통하여 오차 값을 산출하는 단계 상기 오차 값에 대한 홀 센서들의 위치 보정 값을 생성하는 단계 상기 위치 보정 값을 기반으로 상기 모터 구동을 제어하는 제어 단계를 포함하는 역기전압을 이용한 BLDC 전동기의 홀 센서 위치 보정 방법 및 이를 지원하는 BLDC 전동기의 구성을 개시한다.,고정자와 회전자를 포함하는 모터;상기 모터의 회전자 위치를 검출하는 홀 센서들;상기 모터의 역기전압 정보와 상기 홀 센서들이 전달하는 센서 신호 비교를 통하여 오차 값에 대한 상기 홀 센서들의 위치 보정 값을 생성한 후 이를 기반으로 상기 모터 구동 제어를 수행하는 모터 제어부;상기 위치 보정 값을 저장하는 메모리;상기 모터 제어부 제어에 따라 상기 모터 구동에 필요한 전원을 공급하는 인버터;상기 인버터에 공급되는 PWM 구동 신호를 생성하는 PWM 구동부;를 포함하며상기 모터 제어부는상기 메모리에 홀 센서들의 위치 보정 값이 저장되어 있는 지의 여부를 확인하여 모터의 최초 구동 여부를 확인하고 확인 결과 상기 위치 보정 값이 저장되어 있지 않아 상기 모터의 최초 구동을 확인한 경우 상기 모터를 사전 정의된 보정 속도 구간에 해당하는 저속의 정속 속도로 운전시켜 상기 모터의 역기전압 정보를 수집하고 상기 모터 구동에 따른 역기전압의 zero crossing 지점을 검출하는 역기전압 정보 수집부;상기 홀 센서들이 검출한 센서 신호를 수집하는 홀 센서 정보 수집부;상기 수집된 역기전압 정보와 홀 센서들의 센서 신호 비교를 통하여 오차 값을 산출하되 역기전압의 zero crossing 지점과 상기 홀 센서들의 센서 신호 전달 시점 또는 센서 신호의 특정 지점과의 일치 여부를 확인하고 확인한 상기 일치 지점으로부터 이격된 만큼을 오차 값으로 산출하고 상기 오차 값에 대한 상기 홀 센서들의 위치 보정 값을 생성하는 비교 보정부;를 포함하고상기 역기전압 정보 수집부는상기 모터의 최초 구동 여부를 확인한 결과 상기 홀 센서들의 위치 보정 값이 기 저장되어 있는 경우 기 저장된 상기 위치 보정 값을 기반으로 상기 인버터 구동을 위한 상기 PWM 구동부의 구동을 제어하는 것을 특징으로 하는 역기전압을 이용한 홀 센서 위치 보정을 지원하는 BLDC 전동기.,7,10-2012-0028454,2012-03-20,0,0,10-1283963,2013-07-03,전자부품연구원
KR,P,회전자 위치 검출 장치를 내장한 브러시리스 직류 모터(Hall Sensor Board type of Motor Stator Core Sheet And Brushless DC Motor including the same),본 발명의 회전자 위치 검출 장치를 내장한 브러시리스 직류 모터(Brushless DC Motor : BLDC Motor)에 관한 것으로 엔코더의 사용 없이 회전자 위치를 간단하게 검출할 수 있도록 지원하기 위한 것이다. 이러한 본 발명에 따른 브러시리스 직류 모터는 고정자 회전자 영구 자석 하우징 브래킷 및 회전자 위치 검출 장치를 포함한다. 여기서 회전자는 고정자 내측에 배치된다. 영구 자석은 회전자의 일정 영역에 배치된다. 하우징은 회전자를 관통하며 배치되는 축계 고정자 회전자 영구 자석을 감싸며 축계가 관통하는 홀을 포함한다. 브래킷은 축계를 하우징에 고정하기 위하여 홀 주변에 배치된다. 그리고 회전자 위치 검출 장치는 하우징 후방 내측에 고정되어 회전자에 배치된 영구 자석의 자력 측정을 통한 회전자의 위치를 검출한다.,고정자;상기 고정자 내측에 배치되는 회전자;상기 회전자의 양단과 동일한 높이로 상기 회전자의 다수 영역에 각각 삽입 고정되는 적어도 하나의 영구 자석;상기 회전자를 관통하며 배치되는 축계;상기 고정자 회전자 영구 자석을 감싸며 상기 축계가 관통하는 홀을 포함하는 하우징;상기 축계를 하우징에 고정하기 위하여 상기 홀 주변에 배치되는 브래킷;상기 하우징 후방 내측에 고정되어 상기 회전자에 배치된 영구 자석의 자력 측정을 통한 회전자의 위치를 검출하는 회전자 위치 검출 장치; 를 포함하고상기 회전자 위치 검출 장치는상기 하우징 후방 내측에 고정되어 상기 회전자의 위치 검출을 수행하는 센서 회로 보드;상기 센서 회로 보드 일측에 배치되는 센서 지지대;상기 센서 지지대의 일단에 배치되어 상기 회전자의 위치 검출을 위한 센서 신호를 생성하는 센서;상기 센서 회로 보드와 접속되고 외부 마스터 컴퓨터와 연결되어 상기 센서 회로 보드가 상기 회전자의 위치 검출을 수행하지 않을 때 수신된 상기 센서의 센서 신호를 상기 외부 마스터 컴퓨터에 전달하는 신호 라인; 을 포함하며상기 하우징은상기 신호 라인 배치를 위해 마련되는 관통홀; 을 더 포함하며상기 센서는 상기 영구 자석과 상기 고정자의 플럭스 벽면 사이에 배치되는 것을 특징으로 하는 회전자 위치 검출 장치를 내장한 브러시리스 직류 모터.,1,10-2011-0026151,2011-03-24,10-2012-0108379,2012-10-05,10-1256858,2013-04-16,전자부품연구원 | 부천산업진흥재단
